,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,ST,PINCP
290,52.0,4.0,18.0,5.0,3558.0,54.0,0.0,42.0,2.0,37.0,56165.0
291,41.0,1.0,20.0,1.0,6212.0,67.0,1.0,84.0,1.0,3.0,113617.0
292,43.0,1.0,17.0,1.0,5099.0,54.0,10.0,52.0,2.0,13.0,43932.0
293,60.0,1.0,24.0,5.0,7726.0,48.0,0.0,51.0,1.0,18.0,25605.0
294,60.0,5.0,19.0,1.0,8288.0,56.0,8.0,68.0,2.0,16.0,3264.0
295,33.0,4.0,20.0,5.0,3370.0,45.0,0.0,71.0,1.0,4.0,63060.0
296,69.0,1.0,20.0,5.0,5178.0,28.0,0.0,54.0,1.0,24.0,24931.0
297,31.0,3.0,18.0,1.0,6372.0,62.0,0.0,65.0,1.0,30.0,64989.0
298,54.0,5.0,16.0,4.0,6251.0,41.0,0.0,69.0,1.0,4.0,498000.0
299,51.0,1.0,17.0,1.0,4799.0,47.0,1.0,41.0,1.0,15.0,28930.0
300,28.0,6.0,17.0,2.0,2133.0,67.0,5.0,70.0,1.0,26.0,59159.0
301,54.0,1.0,19.0,5.0,3077.0,43.0,0.0,40.0,2.0,50.0,54819.0
302,73.0,1.0,21.0,5.0,6013.0,11.0,0.0,43.0,2.0,2.0,106599.0
303,43.0,1.0,18.0,5.0,1005.0,65.0,0.0,61.0,1.0,2.0,57278.0
304,71.0,1.0,17.0,5.0,5343.0,55.0,1.0,40.0,2.0,17.0,60446.0
305,72.0,1.0,17.0,4.0,4171.0,9.0,0.0,73.0,2.0,24.0,56381.0
306,32.0,1.0,18.0,1.0,6380.0,39.0,0.0,41.0,1.0,22.0,52334.0
307,75.0,1.0,19.0,4.0,5312.0,50.0,4.0,42.0,2.0,14.0,40706.0
308,75.0,6.0,18.0,1.0,3850.0,37.0,2.0,41.0,2.0,20.0,73969.0
309,41.0,4.0,19.0,4.0,6410.0,20.0,0.0,45.0,2.0,5.0,3291.0
310,44.0,1.0,16.0,1.0,5137.0,365.0,1.0,61.0,1.0,41.0,51896.0
311,28.0,1.0,18.0,5.0,2578.0,59.0,8.0,41.0,1.0,31.0,64544.0
312,22.0,3.0,22.0,5.0,4793.0,23.0,1.0,50.0,2.0,31.0,4456.0
313,50.0,1.0,20.0,3.0,3216.0,26.0,1.0,42.0,1.0,30.0,6111.0
314,52.0,1.0,18.0,1.0,7697.0,37.0,0.0,45.0,2.0,24.0,64407.0
315,55.0,4.0,19.0,5.0,6422.0,36.0,1.0,78.0,2.0,29.0,64098.0
316,62.0,1.0,16.0,5.0,5803.0,32.0,0.0,69.0,1.0,17.0,31115.0
317,73.0,3.0,18.0,1.0,5324.0,8.0,0.0,40.0,1.0,25.0,170113.0
318,75.0,1.0,17.0,1.0,9810.0,54.0,1.0,68.0,2.0,10.0,498000.0
319,55.0,1.0,20.0,3.0,5518.0,34.0,0.0,54.0,2.0,20.0,67864.0
320,20.0,6.0,19.0,4.0,3899.0,37.0,2.0,33.0,1.0,30.0,13499.0
321,24.0,3.0,20.0,5.0,5188.0,21.0,1.0,43.0,1.0,54.0,44150.0
322,75.0,1.0,18.0,5.0,3003.0,42.0,0.0,39.0,2.0,38.0,15440.0
323,65.0,1.0,15.0,1.0,4894.0,60.0,0.0,45.0,1.0,27.0,36337.0
324,73.0,3.0,16.0,1.0,6116.0,14.0,2.0,41.0,1.0,21.0,65356.0
325,75.0,6.0,19.0,1.0,6460.0,72.0,0.0,29.0,1.0,13.0,35235.0
326,64.0,1.0,16.0,3.0,5278.0,40.0,0.0,58.0,2.0,18.0,14252.0
327,62.0,5.0,16.0,5.0,6789.0,65.0,0.0,68.0,2.0,2.0,176793.0
328,72.0,3.0,17.0,1.0,4263.0,33.0,2.0,42.0,2.0,24.0,35613.0
329,59.0,1.0,21.0,5.0,5740.0,37.0,17.0,58.0,2.0,44.0,15376.0
330,29.0,1.0,18.0,5.0,4311.0,56.0,2.0,41.0,2.0,17.0,66198.0
331,18.0,5.0,21.0,5.0,6295.0,47.0,1.0,38.0,2.0,53.0,40371.0
332,21.0,6.0,17.0,1.0,5532.0,45.0,1.0,84.0,1.0,33.0,400.0
333,46.0,3.0,18.0,4.0,5298.0,2.0,1.0,41.0,1.0,29.0,42016.0
334,74.0,6.0,23.0,4.0,4579.0,60.0,0.0,43.0,2.0,22.0,28787.0
335,71.0,1.0,22.0,3.0,4683.0,60.0,0.0,51.0,2.0,17.0,71534.0
336,24.0,7.0,22.0,5.0,4095.0,43.0,0.0,81.0,1.0,19.0,59615.0
337,49.0,2.0,17.0,4.0,4596.0,63.0,10.0,40.0,1.0,28.0,33190.0
338,69.0,7.0,21.0,5.0,6776.0,35.0,0.0,44.0,2.0,11.0,43939.0
339,41.0,1.0,16.0,5.0,2714.0,53.0,17.0,26.0,2.0,31.0,39963.0
340,35.0,2.0,21.0,5.0,4855.0,32.0,0.0,42.0,2.0,48.0,948.0
341,69.0,1.0,17.0,5.0,3576.0,28.0,15.0,80.0,2.0,2.0,72000.0
342,41.0,3.0,18.0,5.0,5132.0,38.0,8.0,55.0,2.0,4.0,59257.0
343,53.0,1.0,17.0,5.0,7926.0,42.0,17.0,41.0,1.0,25.0,61516.0
344,34.0,1.0,21.0,2.0,6738.0,57.0,2.0,40.0,2.0,34.0,46746.0
345,40.0,3.0,20.0,1.0,3216.0,53.0,0.0,34.0,2.0,36.0,400.0
346,56.0,4.0,18.0,5.0,6955.0,63.0,2.0,41.0,2.0,15.0,75071.0
347,45.0,1.0,20.0,5.0,9810.0,33.0,2.0,39.0,1.0,12.0,53460.0
348,62.0,3.0,18.0,5.0,5637.0,64.0,1.0,74.0,1.0,24.0,68786.0
349,39.0,5.0,18.0,5.0,6871.0,60.0,0.0,39.0,1.0,31.0,111967.0
350,45.0,5.0,20.0,2.0,7221.0,60.0,0.0,81.0,1.0,33.0,47192.0
351,62.0,7.0,18.0,3.0,4597.0,34.0,0.0,41.0,1.0,14.0,33350.0
352,26.0,7.0,18.0,4.0,8718.0,55.0,0.0,41.0,1.0,25.0,54923.0
353,22.0,4.0,17.0,5.0,340.0,25.0,1.0,73.0,2.0,49.0,34502.0
354,42.0,1.0,17.0,5.0,6437.0,25.0,0.0,36.0,2.0,39.0,79484.0
355,60.0,2.0,21.0,5.0,6687.0,54.0,9.0,73.0,1.0,2.0,2867.0
356,25.0,2.0,17.0,3.0,4815.0,42.0,0.0,42.0,1.0,33.0,44663.0
357,53.0,1.0,24.0,5.0,1735.0,37.0,0.0,56.0,2.0,37.0,28831.0
358,58.0,6.0,21.0,3.0,3490.0,42.0,1.0,42.0,1.0,22.0,59823.0
359,38.0,1.0,18.0,1.0,2211.0,58.0,1.0,38.0,1.0,16.0,52893.0
360,72.0,1.0,17.0,1.0,10.0,27.0,0.0,42.0,1.0,20.0,35878.0
361,28.0,7.0,22.0,1.0,6132.0,41.0,1.0,55.0,2.0,29.0,40151.0
362,42.0,1.0,19.0,1.0,3005.0,2.0,2.0,73.0,1.0,2.0,7674.0
363,43.0,3.0,23.0,4.0,3503.0,51.0,5.0,41.0,2.0,2.0,386240.0
